No.,物件名,対象空室数,最寄駅,住所,電話番号,管理年数,URL
39,木場公園三好住宅,0,東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩7分 都営新宿線「菊川」駅 徒歩17分 東京メトロ東西線「木場」駅バス3分 徒歩4分,江東区三好3-1-17,03-5609-2688,41年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3450.html
40,東大島駅前ハイツ,0,都営新宿線「東大島」駅 徒歩3～4分 都営新宿線「大島」駅 徒歩10～12分 JR総武線・東武亀戸線「亀戸」駅バス11分 徒歩2～3分,江東区大島7-39,03-5609-2688,42年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3460.html
41,亀戸二丁目,0,JR総武線・東武亀戸線「亀戸」駅 徒歩7～9分 JR総武線・東京メトロ半蔵門線「錦糸町」駅 徒歩12～14分,江東区亀戸2-6,03-3846-1571,57年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1660.html
42,大島四丁目,0,都営新宿線「西大島」駅 徒歩5～10分 JR総武線・東武亀戸線「亀戸」駅バス4～6分 徒歩2～6分 都営新宿線「大島」駅 徒歩7～12分,江東区大島4-1,03-5609-2688,55年～56年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1780.html
43,大島六丁目,0,都営新宿線「大島」駅 徒歩3～8分 JR総武線・東武亀戸線「亀戸」駅 徒歩10～15分 JR総武線・東武亀戸線「亀戸」駅バス8分 徒歩2～7分,江東区大島6-1,03-5609-2688,54年～55年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1920.html
44,木場二丁目,0,東京メトロ東西線「木場」駅 徒歩4分 東京メトロ東西線・都営大江戸線「門前仲町」駅 徒歩7分,江東区木場2-1-3,03-5609-2688,54年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2000.html
45,大島七丁目,0,都営新宿線「東大島」駅 徒歩9分 JR総武線・東武亀戸線「亀戸」駅バス11分 徒歩6分,江東区大島7-28-1,03-5609-2688,51年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2500.html
46,東陽パークサイドハイツ,0,東京メトロ東西線「木場」駅 徒歩12分 都営新宿線・東京メトロ半蔵門線「住吉」駅バス9分 徒歩4分 東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩20分,江東区東陽6-5-13,03-5609-2688,45年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3250.html
47,木場公園平野住宅,0,都営大江戸線・東京メトロ半蔵門線「清澄白河」駅 徒歩7分 東京メトロ東西線「木場」駅バス3分 徒歩7分,江東区平野2-8-18,03-5609-2688,42年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3570.html
48,木場三丁目パークハイツ,0,東京メトロ東西線「木場」駅 徒歩9～10分 東京メトロ東西線・都営大江戸線「門前仲町」駅 徒歩10～12分 東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩14～15分,江東区木場3-6,03-5609-2688,40年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3860.html
49,木場公園平野三丁目ハイツ,0,東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩11分 東京メトロ東西線「木場」駅 徒歩13分 都営新宿線「菊川」駅バス2分 徒歩3分,江東区平野3-3-9,03-5609-2688,39年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3950.html
50,ヴェッセル木場南,0,東京メトロ東西線「木場」駅 徒歩14～19分 JR京葉線「潮見」駅 徒歩15～20分 JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分,江東区塩浜2-18,03-3271-0611,27年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820.html
51,シティコート大島,0,都営新宿線「大島」駅 徒歩3～7分 JR総武線・東武亀戸線「亀戸」駅 徒歩15～18分 JR総武線・東武亀戸線「亀戸」駅バス4～6分 徒歩1～5分,江東区大島6-14,03-5609-2688,24年～26年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5900.html
52,アーバンライフ亀戸,0,JR総武線・東武亀戸線「亀戸」駅 徒歩6～7分 都営新宿線「西大島」駅 徒歩17分 JR総武線・東京メトロ半蔵門線「錦糸町」駅 徒歩9～10分,江東区亀戸2-1,03-3846-1571,26年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5960.html
53,上馬二丁目,0,東急田園都市線｢三軒茶屋｣駅 徒歩7分 東急世田谷線「三軒茶屋」駅 徒歩7分,世田谷区上馬2-26-20,03-5450-2071,52年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2400.html
54,経堂赤堤通り,0,小田急小田原線「経堂」駅 徒歩10～14分 東急世田谷線「松原」駅 徒歩11～12分 京王線「桜上水」駅 徒歩15～18分,世田谷区桜上水1-1,03-5450-2071,29年～31年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5000.html
55,世田谷通りシティハイツ若林,0,東急世田谷線｢若林｣駅 徒歩6分 東急田園都市線ほか｢三軒茶屋｣駅 徒歩14分,世田谷区若林3-10-1,03-5450-2071,30年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5220.html
56,フレール西経堂,0,小田急小田原線「千歳船橋」駅 徒歩11～15分 小田急小田原線「経堂」駅 徒歩11～19分 京王線「八幡山」駅バス4～5分 徒歩5～9分,世田谷区船橋5-17,03-5450-2071,22年～29年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5440.html
57,スクエアー世田谷桜丘,0,小田急小田原線｢千歳船橋｣駅 徒歩12分 小田急小田原線｢経堂｣駅 徒歩15分,世田谷区桜丘1-2-20,03-5450-2071,28年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5590.html
58,アクティ三軒茶屋,0,東急田園都市線「三軒茶屋」駅 徒歩10～12分 東急世田谷線「三軒茶屋」駅 徒歩10～13分,世田谷区野沢1-35,03-5450-2071,23年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6470.html
59,竹の塚第二,0,東急田園都市線「三軒茶屋」駅 徒歩10～12分 東急世田谷線「三軒茶屋」駅 徒歩10～13分,世田谷区野沢1-35,03-5450-2071,23年,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1310.html
